Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1733193764309.4822,-0.28668212890625,0.2388916015625,-0.60260009765625,0.7054443359375,2.73,-8.69,0.28,-46.5625,14.0625,4.6875,-0.10581058590215622,-0.03490658503988659,-0.04036073895236887
1733193764431.042,-0.28997802734375,0.238037109375,-0.60205078125,0.704833984375,0.19,-8.120000000000001,2.34,-48.75,14.0625,3.875,-0.1407171709420428,-0.08399397025222712,-0.026179938779914945
1733193764552.406,-0.29962158203125,0.23614501953125,-0.60675048828125,0.6973876953125,-4.42,-9.290000000000001,-1.51,-47.0,14.0625,5.0625,-0.05999569303730508,-0.04363323129985824,-0.07635815477475191
1733193764673.517,-0.30023193359375,0.2347412109375,-0.60406494140625,0.69989013671875,-3.43,-12.57,0.61,-46.25,14.75,4.25,-0.2007128639793479,0.05126904677733343,0.4461497900410505
1733193764796.222,-0.29693603515625,0.2396240234375,-0.603515625,0.70013427734375,0.6,-6.62,-0.79,-45.0625,14.75,6.875,-0.20943951023931956,-0.017453292519943295,-0.4526947747360292
1733193764917.072,-0.29608154296875,0.2413330078125,-0.601806640625,0.701416015625,0.24,-10.23,0.72,-46.5625,14.5,4.25,0.12435470920459599,-0.00545415391248228,-0.13744467859455345
1733193765037.98,-0.294921875,0.243408203125,-0.6011962890625,0.70166015625,0.26,-9.97,0.84,-46.25,14.5,5.0625,-0.00545415391248228,0.04145156973486533,-0.07090400086226964
1733193765165.539,-0.2945556640625,0.243408203125,-0.601318359375,0.70172119140625,0.76,-9.89,0.5700000000000001,-45.875,14.75,5.375,-0.009817477042468103,0.038179077387375956,-0.032724923474893676
1733193765290.518,-0.294921875,0.24261474609375,-0.60125732421875,0.701904296875,0.14,-9.89,1.23,-45.0625,14.75,4.6875,0.03490658503988659,0.019634954084936207,-0.008726646259971648
1733193765411.557,-0.29486083984375,0.24322509765625,-0.6009521484375,0.70196533203125,0.38,-9.790000000000001,1.23,-46.5625,14.5,5.0625,0.04581489286485115,-0.01090830782496456,-0.03490658503988659
1733193765535.5142,-0.2955322265625,0.24365234375,-0.60113525390625,0.70135498046875,-0.28,-10.03,0.88,-47.25,13.6875,5.75,0.001090830782496456,-0.009817477042468103,-0.04145156973486533
1733193765657.825,-0.29541015625,0.24371337890625,-0.6009521484375,0.7015380859375,-0.37,-9.98,1.35,-45.5,13.6875,5.75,0.01090830782496456,0.006544984694978736,0.015271630954950384
1733193765778.699,-0.2950439453125,0.24365234375,-0.60101318359375,0.70172119140625,-0.08,-9.88,1.23,-46.5625,14.75,4.6875,-0.039269908169872414,0.015271630954950384,-0.017453292519943295
1733193765900.486,-0.29486083984375,0.24346923828125,-0.6009521484375,0.701904296875,0.11,-9.78,1.42,-47.375,14.0625,4.6875,-0.009817477042468103,-0.00545415391248228,-0.06544984694978735
1733193766021.857,-0.29486083984375,0.24365234375,-0.6009521484375,0.70184326171875,-0.33,-9.82,1.33,-45.5,14.75,5.0625,-0.00545415391248228,-0.00545415391248228,-0.028361600344907856
1733193766147.711,-0.29473876953125,0.24365234375,-0.6009521484375,0.70184326171875,-0.19,-9.92,1.24,-47.0,13.0,5.375,-0.014180800172453928,0.01090830782496456,-0.006544984694978736
1733193766277.063,-0.294921875,0.24346923828125,-0.6007080078125,0.7020263671875,0.12,-9.82,1.49,-46.25,14.5,5.0625,-0.002181661564992912,-0.008726646259971648,0.01090830782496456
1733193767020.638,-0.29559326171875,0.2425537109375,-0.601318359375,0.7015380859375
1733193771425.021,-0.294921875,0.242919921875,-0.6009521484375,0.70208740234375,0.0,-9.63,2.05,-46.5625,13.6875,3.875,0.015271630954950384,0.003272492347489368,-0.007635815477475192
1733193771554.101,-0.2943115234375,0.2432861328125,-0.6009521484375,0.70220947265625,-0.03,-9.790000000000001,2.14,-47.0,14.5,4.6875,-0.008726646259971648,0.002181661564992912,-0.06872233929727672
1733193771683.1282,-0.294677734375,0.243408203125,-0.60107421875,0.701904296875,0.32,-9.620000000000001,1.85,-47.6875,14.5,5.75,0.02399827721492203,-0.011999138607461015,0.01090830782496456
